Miguel ngel Mickey Coll Dulievre;M;?;196.0;86.0;Puerto Rico;PUR;1972 Summer;1972;Summer;Munich;Basketball
Jnos Dzvonyr;M;19.0;181.0;69.0;Hungary;HUN;1980 Summer;1980;Summer;Moskva;Swimming
Nadia Centoni;F;23.0;182.0;63.0;Italy;ITA;2004 Summer;2004;Summer;Athina;Volleyball
Rosiclia Cardoso Campos;F;22.0;175.0;66.0;Brazil;BRA;1992 Summer;1992;Summer;Barcelona;Judo
?;M;26.0;185.0;68.0;?;NZL;1964 Summer;1964;Summer;Tokyo;Athletics
Marissa Castelli;F;23.0;?;48.0;United States;USA;2014 Winter;?;Winter;Sochi;Figure Skating
John Franklin Anderson;M;25.0;191.0;97.0;United States;USA;1932 Summer;1932;Summer;Los Angeles;Athletics
Lenka Bartkov;F;21.0;?;64.0;Czech Republic;CZE;2012 Summer;2012;Summer;London;Basketball
Attila Buday;M;30.0;180.0;?;Canada;CAN;2004 Summer;2004;Summer;Athina;?
Naser Al-Othman;M;23.0;163.0;60.0;?;KUW;2000 Summer;2000;Summer;Sydney;Football
?;M;23.0;182.0;77.0;United States;USA;2000 Summer;2000;Summer;Sydney;?
Chang Hui-Chien;F;14.0;168.0;62.0;Chinese Taipei;TPE;1984 Summer;1984;Summer;Los Angeles;Swimming
Martin Callaghan;M;17.0;184.0;?;Australia;AUS;1980 Summer;1980;Summer;Moskva;Water Polo
Abdel Hakim Djaziri;M;23.0;?;60.0;Algeria;ALG;2004 Summer;2004;Summer;?;Table Tennis
Roberto Ferrari;M;28.0;178.0;80.0;Italy;ITA;1952 Summer;1952;Summer;Helsinki;Fencing
Susanne Jean Susie Atwood;F;?;170.0;66.0;United States;USA;1968 Summer;1968;Summer;Mexico City;Swimming
Arturo Costa Valdes;M;22.0;175.0;76.0;Cuba;CUB;1968 Summer;?;Summer;Mexico City;Shooting
Eleni Daniilidou;F;25.0;?;72.0;Greece;GRE;2008 Summer;2008;Summer;Beijing;Tennis
Joseph Stuart Joe Bottom;M;21.0;194.0;87.0;United States;USA;1976 Summer;1976;Summer;Montreal;Swimming
Kari Pekka Eloranta;M;?;187.0;89.0;Finland;FIN;1992 Winter;1992;Winter;Albertville;?
Kristijan Efremov;?;21.0;184.0;72.0;?;?;2012 Summer;2012;Summer;London;Athletics
Moustafa Adam;M;23.0;173.0;?;Egypt;EGY;1992 Summer;1992;Summer;Barcelona;?
Olanrewaju Durodola;M;27.0;192.0;91.0;Nigeria;NGR;2008 Summer;?;Summer;Beijing;Boxing
Jan Mauritz Boklv;M;25.0;168.0;60.0;Sweden;SWE;1992 Winter;1992;Winter;?;Ski Jumping
Wendy Lou Lansbach Boglioli;F;?;180.0;64.0;United States;USA;1976 Summer;1976;?;Montreal;Swimming
Michael Mike Dixon;?;35.0;168.0;64.0;Great Britain;GBR;1998 Winter;1998;Winter;Nagano;Biathlon
Philippe Dupont;M;?;180.0;64.0;France;FRA;1980 Summer;1980;Summer;Moskva;Athletics
Piero Codia;?;26.0;190.0;80.0;Italy;ITA;2016 Summer;2016;Summer;Rio de Janeiro;Swimming
?;F;29.0;173.0;66.0;Sweden;?;?;2016;Summer;Rio de Janeiro;Football
?;M;21.0;158.0;50.0;China;CHN;1996 Summer;1996;Summer;Atlanta;Gymnastics
Pedro Omar Caino;M;28.0;182.0;82.0;Argentina;ARG;1984 Summer;1984;?;Los Angeles;Cycling
Deepankar Bhattacharya;M;24.0;178.0;68.0;India;IND;1996 Summer;1996;Summer;Atlanta;Badminton
?;F;18.0;158.0;43.0;East Germany;GDR;?;1968;Summer;Mexico City;Gymnastics
Francisco Flaminio Ferreira Romero;M;21.0;182.0;?;Paraguay;PAR;1992 Summer;1992;Summer;Barcelona;Football
Mykola Anatoliyovych Dovhan;M;25.0;178.0;80.0;Soviet Union;URS;1980 Summer;1980;?;Moskva;Rowing
Gary J. Dilley;M;19.0;186.0;?;United States;USA;1964 Summer;1964;Summer;?;Swimming
Daniel Claudon;M;28.0;179.0;?;France;FRA;1972 Winter;1972;Winter;Sapporo;Biathlon
Andrzej Stanisaw Badeski;M;29.0;173.0;68.0;Poland;POL;1972 Summer;1972;Summer;Munich;Athletics
Anzhelika Petrovna Anzhela Atroshchenko (-Kinet);F;21.0;176.0;58.0;Unified Team;EUN;1992 Summer;1992;Summer;Barcelona;Athletics
