Douglas Henshall;?;?;?;4413;6.8;?
Al Lettieri;nm0504803;Wild Seed;?;?;?;?
?;?;?;1968;?;6.1;tt0062941
?;nm0000337;?;?;2103;?;?
Meg Foster;?;?;1973;321;5.4;tt0072392
Felicity Dean;?;Fast & Furious Presents: Hobbs & Shaw;?;171694;6.4;?
?;?;The Key;?;1305;6.7;tt0051816
Victoria Yeates;?;?;?;228015;6.6;tt4123430
?;nm0001835;Rocky III;?;?;?;tt0084602
Moises Arias;nm2030779;?;?;1611;6.4;?
?;?;?;2016;?;6.3;tt4356480
?;nm0001467;?;2017;?;8.0;?
?;nm0000433;?;1988;18585;?;tt0095519
Ned Beatty;nm0000885;The Big Bus;1976;?;?;?
Bill Sage;nm0756083;?;2000;2917;?;tt0182508
Amanda Seyfried;?;?;2013;?;?;?
Yuri Kolokolnikov;?;?;?;?;3.7;tt0387358
?;?;?;2010;505;6.1;?
?;nm0752407;Win Win;2011;52765;7.1;?
Udo Kier;?;The Third Generation;?;2138;?;tt0079083
Bradley Cooper;nm0177896;?;2002;?;2.3;?
Judy Norton;nm0003354;Hotel;?;?;?;tt0061786
John Diehl;?;?;1997;278506;6.9;tt0118880
?;nm0002070;Havana;1990;7285;?;?
Adriana Ugarte;nm1246047;?;?;?;5.4;tt1047870
?;?;The Guns of Fort Petticoat;1957;?;?;?
Robert Forster;?;?;1993;2360;?;?
?;nm0430107;?;?;154075;?;?
Kerry Washington;?;Mr. & Mrs. Smith;?;453803;6.5;?
?;nm0072949;Anna and the Apocalypse;2017;11033;6.0;?
Phoebe Tonkin;nm2100081;?;?;30301;6.2;?
?;nm0792003;Hawk the Slayer;?;?;5.5;?
Natasha Little;nm0514638;The Boys Are Back;?;?;?;?
?;nm0010736;The Master;?;157396;7.2;tt1560747
Dwight Yoakam;?;Three Burials;?;39048;7.4;tt0419294
Sydney Penny;nm0001607;The Passion of Bernadette;?;114;6.1;?
Harold Gould;nm0332390;?;1969;?;?;tt0064041
?;nm0000377;The Buddy System;?;?;?;tt0087006
?;nm0451600;?;?;149;?;tt1095038
?;nm0001777;?;1945;7981;7.1;?
Adrian Dunbar;?;A World Apart;?;?;?;?
Harry Carey Jr.;nm0001013;Bandolero!;1968;?;?;?
Isiah Whitlock Jr.;nm0926086;?;2020;?;6.3;?
?;nm0005148;Mountains of the Moon;?;3426;?;?
?;nm0000012;The Whales of August;1987;?;7.3;?
?;?;?;1994;?;7.2;?
Will Estes;?;Blue Ridge Fall;?;?;5.6;tt0124119
Rupert Penry-Jones;?;?;?;?;6.0;tt0162709
?;?;An American Carol;?;9424;?;tt1190617
?;?;Dawn Patrol;2014;661;4.7;tt2073661
?;nm0065007;Miroslava;?;?;6.8;?
Jeremy Swift;?;?;?;180106;5.3;?
Tait Fletcher;?;?;2018;?;4.9;tt6116568
?;?;Remarkable Power;?;324;5.6;?
James Frain;?;?;?;?;6.8;tt0198021
?;?;?;1992;21328;6.5;tt0104412
?;?;?;?;890;?;tt0093253
Eliza Bennett;?;?;?;68860;6.5;?
?;?;Far from the Madding Crowd;2015;45863;7.1;?
Sophia Loren;nm0000047;The Condemned of Altona;1962;485;?;tt0056468
?;nm0178066;Rebecca;?;125343;8.1;?
?;?;Heights;2005;?;6.8;tt0382073
?;?;?;2003;?;6.0;?
?;nm0893862;?;1990;13500;?;?
Adrien Brody;nm0004778;The Darjeeling Limited;2007;182553;?;tt0838221
?;?;?;?;17810;?;?
?;?;Sing;?;710;?;tt0098335
?;?;?;?;?;?;?
Anthony Perkins;nm0000578;?;1958;1168;?;tt0051534
Kate Luyben;nm0527722;?;?;4779;5.9;?
?;nm0005009;?;2003;536;5.3;?
Michael Ansara;?;?;?;?;6.5;?
Chris Klein;nm0005098;American Pie;1999;?;7.0;?
Bette Davis;?;Satan Met a Lady;1936;1918;?;tt0028219
Mark O'Brien;nm1975628;?;2018;?;?;tt7074886
Robert John Burke;nm0121559;Safe;2012;?;6.5;tt1656190
Susan Egan;?;?;?;1167;?;?
Peter Fonda;nm0001228;?;2018;?;5.2;tt5686062
Ana Ortiz;nm0651067;?;?;?;?;tt1464174
Richard Harris;nm0001321;The Cassandra Crossing;1976;?;6.4;?
Chris Coy;?;?;2014;2426;?;?
Gwendoline Yeo;nm1290102;Zu Warriors;2001;?;5.2;tt0286098
?;?;Bedtime Story;?;542;?;?
?;nm0507338;?;1993;?;7.3;tt0108551
?;?;?;?;1405;6.9;tt7618604
Paul Sorvino;?;The Brooklyn Banker;2016;577;?;tt3758564
?;?;Hey Arnold! The Movie;2002;?;?;tt0314166
?;nm0001267;?;1991;300;5.8;tt0101695
Mark Hamill;nm0000434;?;?;2442;?;tt0083694
?;nm0005442;?;2017;?;5.6;?
?;?;Tangled;?;?;?;?
?;nm0001481;?;1984;?;?;?
?;?;?;?;?;5.9;?
Mindy Kaling;nm1411676;Night at the Museum: Battle of the Smithsonian;2009;179302;6.0;?
?;nm0000383;Alpha Male;2006;315;?;?
?;nm0068551;?;2009;?;?;?
Amy Pietz;nm0682970;?;?;1453;5.5;tt9815998
?;?;?;?;?;?;?
Mark Proksch;nm1515989;A Merry Friggin' Christmas;2014;6104;?;tt0910885
Joanna Gleason;?;Hannah and Her Sisters;1986;?;7.9;tt0091167
Josh Hartnett;nm0001326;O;?;?;6.1;tt0184791
Jim Backus;?;Hollywood Story;?;?;?;?
