044XX S DREXEL BLVD;?;?;?;STREET;?;0;2.0;?;?
021XX E 78TH ST;1150;DECEPTIVE PRACTICE;CREDIT CARD FRAUD;OTHER;?;0;4.0;8.0;?
068XX S CONSTANCE AVE;0820;THEFT;$500 AND UNDER;STREET;0;?;3.0;5.0;43.0
?;?;?;?;OTHER;?;0;22.0;?;75.0
100XX S PERRY AVE;1310;CRIMINAL DAMAGE;TO PROPERTY;RESIDENCE;?;0;?;?;49.0
014XX W 74TH ST;0486;?;DOMESTIC BATTERY SIMPLE;RESIDENCE;?;1;?;17.0;67.0
?;?;OTHER OFFENSE;VIOLATE ORDER OF PROTECTION;RESIDENCE;0;1;?;8.0;?
?;0820;THEFT;$500 AND UNDER;APARTMENT;0;1;15.0;?;25.0
?;0860;?;?;?;1;0;?;42.0;8.0
069XX S JEFFERY BLVD;031A;ROBBERY;ARMED: HANDGUN;?;1;0;3.0;5.0;?
047XX W VAN BUREN ST;?;ASSAULT;?;STREET;1;0;11.0;24.0;?
?;2024;NARCOTICS;?;SIDEWALK;?;?;15.0;37.0;25.0
071XX W GRACE ST;0880;THEFT;PURSE-SNATCHING;SIDEWALK;0;0;16.0;38.0;?
083XX S CONSTANCE AVE;?;MOTOR VEHICLE THEFT;?;RESIDENTIAL YARD (FRONT/BACK);0;0;?;?;45.0
?;1320;CRIMINAL DAMAGE;TO VEHICLE;STREET;0;0;14.0;32.0;24.0
?;031A;ROBBERY;ARMED: HANDGUN;APARTMENT;?;0;?;4.0;36.0
070XX S YALE AVE;?;BATTERY;?;?;0;0;7.0;6.0;69.0
007XX N LAMON AVE;?;ROBBERY;ARMED: HANDGUN;SIDEWALK;?;?;?;28.0;25.0
030XX W CULLERTON ST;0460;BATTERY;SIMPLE;STREET;?;?;?;?;30.0
021XX W HOMER ST;0820;THEFT;?;STREET;0;0;14.0;32.0;22.0
013XX S HALSTED ST;0810;THEFT;OVER $500;RESTAURANT;?;0;12.0;25.0;28.0
047XX W WEST END AVE;0810;THEFT;?;STREET;?;0;11.0;28.0;?
004XX W 100TH ST;2826;OTHER OFFENSE;HARASSMENT BY ELECTRONIC MEANS;?;?;1;22.0;9.0;73.0
014XX W 65TH ST;?;?;DOMESTIC BATTERY SIMPLE;STREET;?;?;?;17.0;67.0
049XX N RIDGEWAY AVE;0910;?;?;STREET;0;0;17.0;?;?
044XX N CLIFTON AVE;2820;OTHER OFFENSE;?;RESIDENCE;?;0;?;46.0;?
?;0610;BURGLARY;FORCIBLE ENTRY;?;0;0;9.0;?;34.0
0000X W 115TH ST;502P;OTHER OFFENSE;FALSE/STOLEN/ALTERED TRP;STREET;1;?;5.0;?;53.0
007XX E 84TH PL;0810;THEFT;OVER $500;SIDEWALK;0;?;6.0;?;44.0
?;?;?;RETAIL THEFT;SMALL RETAIL STORE;0;0;1.0;2.0;32.0
